Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6820902824401855,0.4079105257987976,0.1754993945360183,0.4118147492408752
2.0,0.6958929300308228,0.3779923319816589,0.1200566589832305,0.4153648316860199
3.0,0.5011727809906006,0.3380768895149231,0.1088352650403976,0.392553299665451
4.0,0.5880855321884155,0.325956642627716,0.1911458075046539,0.3462219834327698
5.0,0.5731346607208252,0.2936407923698425,0.1282690465450287,0.3959386050701141
6.0,0.5331315994262695,0.3789722025394439,0.1315673738718032,0.365466833114624
7.0,0.4555696845054626,0.3440244495868683,0.1371121108531952,0.3628326654434204
8.0,0.4083579182624817,0.3897112011909485,0.1475855708122253,0.3771326541900635
9.0,0.5714044570922852,0.3468554615974426,0.12093733251094818,0.38116949796676636
