Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
Feature_1,0.32931525,0.24172504,0.31129083,0.46414483,0.27943155,0.26227367,0.24254233,0.25633466,0.2462749
Feature_2,0.28562647,0.28164914,0.29394424,0.3956225,0.28509164,0.32146198,0.30269608,0.24837473,0.28807265
Feature_3,0.3351139,0.2531547,0.26890722,0.37441716,0.2832499,0.2698752,0.26031974,0.23743927,0.2844984
Feature_4,0.2888373,0.17796093,0.28448775,0.42019397,0.28081918,0.215783,0.26447716,0.26343542,0.25437403
Feature_5,0.27594998,0.21742508,0.24568835,0.34093243,0.2790786,0.29537177,0.23828864,0.25899827,0.25689113
Feature_6,0.22348577,0.24771917,0.23011965,0.3627904,0.27448216,0.25634688,0.26642114,0.27940142,0.2542022
Feature_7,0.24533288,0.16733274,0.2527608,0.35690957,0.255143,0.31425357,0.22137044,0.26217827,0.24536812
Feature_8,0.43931556,0.20444693,0.2462598,0.56782115,0.28548244,0.2552299,0.27122626,0.22623606,0.22851166
Feature_9,0.19080712,0.22924924,0.23675895,0.34893778,0.2799418,0.2580014,0.25836483,0.2521957,0.25596797
