Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7229185700416565,0.5387586355209351,0.3098490238189697,0.4367257356643677
2.0,0.6705849766731262,0.496032178401947,0.2562769055366516,0.3978123068809509
3.0,0.6641075015068054,0.4952252209186554,0.2467676848173141,0.433108776807785
4.0,0.6008602976799011,0.4555676579475403,0.25062096118927,0.3869727551937103
5.0,0.6096625328063965,0.4541882872581482,0.2143549621105194,0.3677921295166015
6.0,0.6072399616241455,0.4682657718658447,0.225500002503395,0.3652026057243347
7.0,0.5760726928710938,0.4454382658004761,0.2051427364349365,0.3659670948982239
8.0,0.6905224323272705,0.5073016881942749,0.2971852719783783,0.4409558773040771
9.0,0.6213927268981934,0.4829646348953247,0.26173895597457886,0.36361393332481384
