Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5770983695983887,0.3319365382194519,0.1068403050303459,0.4522846043109894
2.0,0.5454710721969604,0.3222079873085022,0.0703817754983902,0.259035050868988
3.0,0.5193384885787964,0.3172023296356201,0.0674840062856674,0.241952583193779
4.0,0.5014697909355164,0.2779208719730377,0.0740812644362449,0.261100709438324
5.0,0.5238059759140015,0.288878858089447,0.10213103890419,0.2200841903686523
6.0,0.5253732800483704,0.2854666411876678,0.0935746133327484,0.3078137040138244
7.0,0.4845142066478729,0.3167019486427307,0.0945843607187271,0.3178402781486511
8.0,0.5022375583648682,0.2993379533290863,0.0856295078992843,0.3045766949653625
9.0,0.5021384954452515,0.3155905306339264,0.10917460918426514,0.353973925113678
