Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6702479124069214,0.4944040775299072,0.1507313847541809,0.3605868816375732
2.0,0.6814436912536621,0.4650497436523437,0.2241872102022171,0.4188683629035949
3.0,0.6471054553985596,0.4562481045722961,0.1978202164173126,0.4128918051719665
4.0,0.5781636834144592,0.3782261610031128,0.1847294867038726,0.3938765227794647
5.0,0.6111612319946289,0.4017320275306701,0.2125124633312225,0.3949940204620361
6.0,0.6004765629768372,0.3952386975288391,0.2045034170150756,0.3949947357177734
7.0,0.5919585824012756,0.4086565673351288,0.1419326514005661,0.3888134956359863
8.0,0.6889467239379883,0.5292548537254333,0.2504951953887939,0.377785325050354
9.0,0.5330298542976379,0.4535963535308838,0.20898279547691345,0.36250004172325134
