Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6102125644683838,0.4204617142677307,0.1279119551181793,0.3439758419990539
2.0,0.6087636351585388,0.4458081126213074,0.1993844807147979,0.4121013283729553
3.0,0.5872831344604492,0.439593642950058,0.1848078221082687,0.4240371286869049
4.0,0.559322714805603,0.3695045113563537,0.1592171639204025,0.4015117883682251
5.0,0.621822714805603,0.3951479494571686,0.1763603091239929,0.3906050622463226
6.0,0.5252799987792969,0.3903142213821411,0.1968606412410736,0.3963005542755127
7.0,0.5462714433670044,0.3795115947723388,0.1329442262649536,0.4024635553359985
8.0,0.6582324504852295,0.4877406358718872,0.205746054649353,0.4080337882041931
9.0,0.5539202690124512,0.4263237118721008,0.1779559105634689,0.3736786246299743
