Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6026814579963684,0.4094855785369873,0.1596313118934631,0.3832444250583648
2.0,0.5659834146499634,0.357128381729126,0.1166691556572914,0.3196486830711365
3.0,0.5669173002243042,0.3464954197406769,0.1064045205712318,0.236029177904129
4.0,0.5409260988235474,0.3181405961513519,0.1205292344093322,0.2543743252754211
5.0,0.5630400776863098,0.315950870513916,0.1028219759464263,0.2150129377841949
6.0,0.5431308150291443,0.3222761750221252,0.1050512939691543,0.178314059972763
7.0,0.5240545868873596,0.314058780670166,0.116691380739212,0.2684158682823181
8.0,0.5686466693878174,0.3481602072715759,0.1212259978055954,0.3052331209182739
9.0,0.5669384002685547,0.3318929970264435,0.1025857105851173,0.2289496064186096
