Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7008661031723022,0.4229763746261596,0.2010608911514282,0.4357551336288452
2.0,0.6422641277313232,0.3980520069599151,0.1477112770080566,0.4078607559204101
3.0,0.5058451890945435,0.3107036352157593,0.093604639172554,0.3364885449409485
4.0,0.4768704771995544,0.3498757481575012,0.1619845628738403,0.4666144251823425
5.0,0.5420184135437012,0.2725427150726318,0.1574636250734329,0.4048583209514618
6.0,0.4652297794818878,0.2882761657238006,0.1302737146615982,0.3362859487533569
7.0,0.3083658516407013,0.2657607197761535,0.1158348470926284,0.4077744483947754
8.0,0.5535323023796082,0.4001151025295257,0.1495534181594848,0.426413357257843
9.0,0.5426042079925537,0.31029582023620605,0.12597523629665375,0.38911712169647217
