Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
Feature_1,0.36627376,0.24964574,0.2709617,0.61961925,0.30400872,0.3437875,0.3290013,0.25434822,0.25268745
Feature_2,0.3786139,0.20985442,0.18127736,0.4003662,0.2828908,0.24883452,0.32001156,0.2645921,0.25928476
Feature_3,0.31508347,0.25842464,0.20177017,0.3798818,0.29711333,0.28652754,0.29633012,0.2718037,0.30189574
Feature_4,0.34306276,0.21727407,0.21368876,0.3907975,0.26018912,0.30478537,0.3280548,0.23290402,0.24641743
Feature_5,0.23370926,0.22939074,0.22639719,0.35269532,0.26715803,0.30821824,0.28295624,0.23434436,0.22434008
Feature_6,0.25785238,0.18964611,0.21014465,0.38164243,0.25683415,0.32881463,0.2846189,0.23275289,0.24985006
Feature_7,0.32400122,0.23418638,0.21084742,0.3831102,0.27513754,0.28591663,0.24207117,0.24532004,0.2577154
Feature_8,0.2780227,0.25441998,0.28389847,0.5273031,0.29802284,0.24799906,0.25689036,0.24899311,0.27847308
Feature_9,0.2717778,0.23402508,0.19912681,0.41618782,0.28084263,0.2724414,0.27294046,0.2666089,0.2448193
