Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
Feature_1,0.34884068,0.2785831,0.3172152,0.49850053,0.26110265,0.32985875,0.37453252,0.25123888,0.23800468
Feature_2,0.3209535,0.2855109,0.34401125,0.5264602,0.3060663,0.392434,0.38884455,0.25632992,0.27270716
Feature_3,0.34482998,0.26854485,0.28624266,0.51984155,0.28654397,0.27080303,0.31207484,0.24406946,0.23678616
Feature_4,0.17297179,0.23216623,0.34396648,0.5666561,0.29953054,0.26187792,0.32734036,0.2889837,0.25365126
Feature_5,0.25756449,0.27016175,0.36094746,0.5387496,0.2839281,0.27427942,0.32345104,0.26031816,0.24036554
Feature_6,0.24886236,0.26262575,0.2946153,0.5445311,0.29182744,0.28949147,0.281632,0.27408677,0.25095516
Feature_7,0.19141881,0.1950322,0.34944424,0.5618142,0.30355012,0.28354555,0.35946342,0.27516812,0.23635437
Feature_8,0.2657215,0.3266021,0.3986479,0.5499959,0.28375632,0.43773377,0.34509712,0.28587484,0.23507036
Feature_9,0.22807655,0.23871654,0.30402267,0.5425308,0.29607266,0.3103001,0.3095066,0.25223738,0.24027549
