Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5919746160507202,0.3682529330253601,0.1485770642757415,0.4266931414604187
2.0,0.6547237038612366,0.4005928337574005,0.083221435546875,0.3935534358024597
3.0,0.5794954299926758,0.3420059084892273,0.1163772791624069,0.3635981976985931
4.0,0.6283232569694519,0.3456811904907226,0.1638835668563842,0.4058601260185241
5.0,0.5651066303253174,0.3321706354618072,0.1364287137985229,0.4292472600936889
6.0,0.5957666039466858,0.2662832736968994,0.0924345403909683,0.3627398610115051
7.0,0.4655259847640991,0.3399448990821838,0.172141820192337,0.4026126563549042
8.0,0.5762217044830322,0.3408361673355102,0.1412053704261779,0.3869422674179077
9.0,0.6659890413284302,0.43739932775497437,0.11995065212249756,0.3652014136314392
