Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6058875918388367,0.4215932488441467,0.1640333235263824,0.308317095041275
2.0,0.5694066286087036,0.390117347240448,0.1503147184848785,0.3513941764831543
3.0,0.5999689102172852,0.407844603061676,0.1271434426307678,0.2854516506195068
4.0,0.5634912252426147,0.3767875432968139,0.1383361667394638,0.3554081916809082
5.0,0.5705225467681885,0.3905487656593323,0.1224428713321685,0.273434430360794
6.0,0.5755634307861328,0.3792698979377746,0.1201768592000007,0.2770477533340454
7.0,0.557175874710083,0.349022626876831,0.1266908943653106,0.3401681780815124
8.0,0.6000498533248901,0.4288955628871918,0.1680491268634796,0.3395554423332214
9.0,0.5665155649185181,0.38379794359207153,0.12156881392002106,0.34011685848236084
