Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5763096809387207,0.3428302407264709,0.1246037036180496,0.3007778525352478
2.0,0.5638487339019775,0.330307126045227,0.117983840405941,0.2278354465961456
3.0,0.5640738606452942,0.3329451382160187,0.1037429869174957,0.2201445400714874
4.0,0.5259923934936523,0.298664778470993,0.0981685221195221,0.2311385422945022
5.0,0.5332370400428772,0.2996464371681213,0.097820833325386,0.2079359889030456
6.0,0.5288642644882202,0.323384016752243,0.1161388456821441,0.2309414446353912
7.0,0.5101097822189331,0.2863099575042724,0.1051807403564453,0.1751423627138137
8.0,0.5784695148468018,0.3467116951942444,0.1199531778693199,0.2478095144033432
9.0,0.5579631328582764,0.3517057299613952,0.1049184799194336,0.2250075787305832
