Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5583411455154419,0.3599669337272644,0.0857743769884109,0.3796086609363556
2.0,0.5292022824287415,0.3377758860588074,0.0786968022584915,0.3739309310913086
3.0,0.5454044342041016,0.3591544032096863,0.0756722837686538,0.3175159692764282
4.0,0.5530897378921509,0.3064751327037811,0.0942660942673683,0.3648790717124939
5.0,0.5307779312133789,0.3199143409729004,0.0832258239388465,0.3294435143470764
6.0,0.5208247900009155,0.3357914686203003,0.0775208920240402,0.3068068325519562
7.0,0.4935230910778045,0.3157258927822113,0.0830118358135223,0.2509465515613556
8.0,0.5551087856292725,0.3331292271614074,0.078957051038742,0.2688521146774292
9.0,0.5355807542800903,0.32390743494033813,0.06970125436782837,0.2978792190551758
