Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6551194787025452,0.4107578992843628,0.2238597273826599,0.3625923097133636
2.0,0.6914074420928955,0.4224478602409363,0.1097351163625717,0.3347728848457336
3.0,0.5925725698471069,0.3676153123378753,0.0884789228439331,0.3379942774772644
4.0,0.595302402973175,0.4305548667907715,0.1563126742839813,0.2965478003025055
5.0,0.553388237953186,0.3477647602558136,0.1332531720399856,0.3371813893318176
6.0,0.6148650646209717,0.3176146149635315,0.1124595552682876,0.2969339489936828
7.0,0.5541063547134399,0.3825756311416626,0.1733349561691284,0.2473739385604858
8.0,0.5725968480110168,0.4084606170654297,0.1555399596691131,0.2799714803695678
9.0,0.6438028812408447,0.38624608516693115,0.09798553586006165,0.36785563826560974
