Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7221624851226807,0.5633527040481567,0.2424415498971939,0.4152743220329284
2.0,0.6210586428642273,0.4675588309764862,0.22481369972229,0.3887812793254852
3.0,0.6465035080909729,0.4454439878463745,0.2369459420442581,0.3880444765090942
4.0,0.524617075920105,0.3837119936943054,0.2097016721963882,0.3850108385086059
5.0,0.5621477365493774,0.4077832698822021,0.2119855433702469,0.3506874442100525
6.0,0.5371904373168945,0.3760949969291687,0.2295436859130859,0.3623488843441009
7.0,0.5259292721748352,0.341844379901886,0.204035222530365,0.3186956346035003
8.0,0.5895008444786072,0.453738272190094,0.2518771290779114,0.4087061882019043
9.0,0.5868052244186401,0.421009361743927,0.2147218883037567,0.3811069130897522
