Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
Feature_1,0.36416668,0.31471574,0.33511704,0.5043734,0.28464776,0.38533026,0.39472413,0.24813819,0.24696931
Feature_2,0.40072095,0.33035433,0.3355648,0.5341032,0.2852412,0.3682651,0.4258539,0.27653193,0.23288989
Feature_3,0.38370788,0.27525946,0.27080137,0.5291003,0.2938776,0.21747027,0.3162287,0.2357263,0.22526646
Feature_4,0.19081335,0.2779838,0.39180177,0.5409624,0.3080237,0.3328577,0.35405275,0.2842213,0.23996772
Feature_5,0.24295844,0.31175727,0.293342,0.54422164,0.31736016,0.34460753,0.333522,0.24860276,0.25159302
Feature_6,0.161531,0.30082852,0.33074096,0.5557137,0.29970077,0.3527465,0.296719,0.28673565,0.2401788
Feature_7,0.20175417,0.23591053,0.37499332,0.5704348,0.27752268,0.34127414,0.36389244,0.26032516,0.2409266
Feature_8,0.3754256,0.350043,0.3984369,0.54049164,0.30138803,0.374551,0.38589823,0.28233826,0.2577536
Feature_9,0.22055748,0.29996502,0.33856046,0.5648552,0.27797723,0.33132595,0.35007158,0.24509162,0.23668303
