Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6078234314918518,0.3235842883586883,0.068520039319992,0.1726859509944915
2.0,0.6398342847824097,0.2587873935699463,0.0449345298111438,0.1728556752204895
3.0,0.5142964124679565,0.254845917224884,0.0638419240713119,0.1403635144233703
4.0,0.5803564786911011,0.2397329211235046,0.0645465701818466,0.1338504552841186
5.0,0.5395801067352295,0.2470975220203399,0.0569263398647308,0.1367264688014984
6.0,0.5884495973587036,0.2408828437328338,0.0668736472725868,0.1268750131130218
7.0,0.5480411052703857,0.2482553720474243,0.0624305084347724,0.1213142424821853
8.0,0.5262129902839661,0.243861898779869,0.0550950020551681,0.1503398269414901
9.0,0.5587587356567383,0.2712767422199249,0.0841975957155227,0.1312355548143386
