Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7619921565055847,0.509976863861084,0.2662668526172638,0.3693234324455261
2.0,0.734418511390686,0.5151065587997437,0.2313097417354583,0.272553414106369
3.0,0.6284405589103699,0.4763686060905456,0.2130326479673385,0.3401163220405578
4.0,0.5291356444358826,0.4477252662181854,0.2366506904363632,0.4008210301399231
5.0,0.702082633972168,0.5077042579650879,0.2114182263612747,0.3470994234085083
6.0,0.5877998471260071,0.4213984906673431,0.1717157810926437,0.3598932921886444
7.0,0.5349811315536499,0.4328889846801758,0.1951540261507034,0.3226836323738098
8.0,0.72921222448349,0.5628583431243896,0.3032295107841491,0.3578172922134399
9.0,0.7241206169128418,0.5284222364425659,0.25630998611450195,0.30131465196609497
