Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6023677587509155,0.3359308838844299,0.0670503675937652,0.1594629436731338
2.0,0.4969367682933807,0.2931539118289947,0.0567137077450752,0.1600795090198516
3.0,0.4857464730739593,0.30594602227211,0.0626926869153976,0.0962425023317337
4.0,0.5334442853927612,0.2908494174480438,0.0573580339550972,0.161750391125679
5.0,0.5123773813247681,0.2986152172088623,0.0583783611655235,0.1348108351230621
6.0,0.5324522256851196,0.2906275391578674,0.0620144829154014,0.1293420493602752
7.0,0.5060587525367737,0.2892800867557525,0.0686259418725967,0.1262940764427185
8.0,0.4906382858753204,0.2510574162006378,0.063418909907341,0.1360620260238647
9.0,0.5324110984802246,0.2871014773845672,0.0673532783985138,0.1342160999774933
