Dataset,IOU Accuracy
10.0,0.8332594524730336
1.0,0.8181065429340709
2.0,0.7328839871016416
3.0,0.6957341459664431
4.0,0.7289487177675421
5.0,0.7022572999650781
6.0,0.6868404068730094
7.0,0.7023694894530557
8.0,0.7458356537602164
9.0,0.6732425825162367
