Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7192984819412231,0.5121658444404602,0.2933952808380127,0.4340108036994934
2.0,0.6957153677940369,0.5437227487564087,0.2586723566055298,0.4340555369853973
3.0,0.7260063886642456,0.5399835109710693,0.258604347705841,0.3896084427833557
4.0,0.6424323916435242,0.4957691431045532,0.2667720317840576,0.3923287391662597
5.0,0.6809784173965454,0.4986053109169006,0.2396282851696014,0.4082901179790497
6.0,0.6243939399719238,0.4545775651931762,0.231262594461441,0.3817686438560486
7.0,0.6170111894607544,0.4635288417339325,0.2307517528533935,0.3693861663341522
8.0,0.7233462333679199,0.5359126329421997,0.3157038986682892,0.4340843856334686
9.0,0.6905232071876526,0.5107181668281555,0.2643876075744629,0.3901957869529724
