Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31,Layer_32,Layer_33,Layer_34,Layer_35,Layer_36,Layer_37,Layer_38,Layer_39,Layer_40
Feature_1,0.6255196,0.5874792,0.3265915,0.56667036,0.3265915,0.56667036,0.46231586,0.47990644,0.433895,0.38431448,0.8993195,0.772465,0.5239694,0.383907,0.9264025,0.874254,0.78824455,0.87408483,0.57602257,0.78476477,0.8484049,0.57262176,0.8513629,0.8051121,0.54105014,0.84642434,0.78530127,0.5082707,0.7784494,0.81769985,0.5575281,0.51306874,0.7721259,0.87628895,0.79637647,0.5843287,0.8186407,0.8771448,0.7879358,0.70780003
Feature_2,0.66467816,0.4379319,0.29912066,0.6438421,0.29912066,0.6438421,0.43376288,0.45878977,0.40851218,0.3493732,0.82132745,0.72373056,0.5023877,0.36483887,0.8725131,0.87878036,0.7209064,0.85134065,0.53150517,0.77450395,0.8232484,0.54815334,0.80585486,0.7871412,0.5479271,0.78974193,0.77179277,0.49930748,0.73955315,0.7738107,0.5704756,0.47999075,0.751353,0.8274813,0.7795291,0.62081647,0.78705144,0.8496789,0.79708606,0.71296215
Feature_3,0.7683326,0.54854417,0.31448165,0.6735876,0.31448165,0.6735876,0.43790597,0.47792566,0.46500564,0.36774212,0.7845739,0.74197936,0.54523605,0.30234832,0.8852431,0.8478296,0.7497145,0.8270419,0.5229786,0.7682069,0.76641154,0.54752135,0.8348629,0.7303278,0.5292519,0.82484555,0.7214349,0.47765684,0.71843,0.7171137,0.5370209,0.46081004,0.71111524,0.7724277,0.7489402,0.57649297,0.7291543,0.773271,0.734425,0.67428935
Feature_4,0.7145604,0.43790114,0.27441782,0.5167593,0.27441782,0.5167593,0.3833741,0.4193853,0.48110956,0.44155675,0.92023253,0.8210678,0.5713751,0.38893864,0.9384429,0.8919627,0.818665,0.8698333,0.53475124,0.8191671,0.8271575,0.58927596,0.8389454,0.8062644,0.55540985,0.8286345,0.78867257,0.53260815,0.77055556,0.7777114,0.54649365,0.5016619,0.74228454,0.82827365,0.7728418,0.599917,0.77482843,0.83441806,0.7927575,0.70808077
Feature_5,0.75141203,0.3028293,0.29088676,0.53269273,0.29088676,0.53269273,0.38523477,0.43933842,0.39102638,0.353394,0.7304907,0.6821775,0.47104406,0.34103504,0.8530977,0.8261329,0.7693035,0.87338626,0.5499011,0.76964885,0.82673454,0.5489785,0.82574683,0.7768304,0.53510594,0.78429055,0.77102697,0.49537912,0.7401888,0.7521995,0.54425186,0.4926958,0.7250473,0.8155793,0.7586068,0.60591555,0.7427355,0.8360284,0.7776388,0.6785744
Feature_6,0.7901254,0.36973435,0.2854606,0.5548321,0.2854606,0.5548321,0.36723047,0.44058442,0.3903588,0.34232956,0.7950833,0.70569855,0.5633692,0.35455194,0.9284613,0.84360266,0.7624856,0.88881254,0.57682484,0.85467714,0.8561796,0.5881959,0.87907255,0.8151405,0.5525304,0.8502091,0.8126228,0.5185956,0.70841193,0.8158743,0.54210633,0.49782073,0.76043737,0.8418242,0.78367084,0.58038765,0.8136735,0.84072083,0.7927552,0.69159603
Feature_7,0.77258384,0.30256814,0.26821023,0.46517605,0.26821023,0.46517605,0.38802552,0.3978758,0.3552268,0.34653735,0.7905018,0.79076964,0.57326,0.38844,0.8527266,0.9100109,0.78514606,0.89570403,0.5588879,0.80814403,0.86151403,0.56826997,0.86039424,0.81711346,0.57616276,0.84858924,0.80358195,0.5512991,0.75715476,0.8110992,0.5574206,0.47435597,0.716722,0.85957366,0.76774406,0.5935842,0.76038027,0.8534613,0.781019,0.69138324
Feature_8,0.5669884,0.65266895,0.3046302,0.6205752,0.3046302,0.6205752,0.43816712,0.4691149,0.43331116,0.40035874,0.7574761,0.74234354,0.51498646,0.36472803,0.8164575,0.8580019,0.74219966,0.8610526,0.56199783,0.7744622,0.8464056,0.5811919,0.835345,0.80500066,0.543852,0.8534011,0.7828227,0.5311844,0.7780406,0.7785324,0.5514777,0.5058001,0.75573486,0.8079784,0.771127,0.58892167,0.7887342,0.7710325,0.7492297,0.6953814
Feature_9,0.8042588,0.60402334,0.30230194,0.6200754,0.30230194,0.6200754,0.48538437,0.5075344,0.4068856,0.38449287,0.8827998,0.6948632,0.55894476,0.38138142,0.8959962,0.91122985,0.789374,0.88237697,0.5811007,0.8094094,0.84778464,0.59959096,0.8708338,0.8139664,0.5537237,0.87311834,0.7956282,0.5512579,0.8078506,0.78727174,0.54613835,0.48289096,0.79237145,0.8331212,0.7505335,0.5841617,0.8046398,0.82454276,0.77128834,0.683188
