Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5993862152099609,0.4311805069446563,0.1996838450431823,0.2945981621742248
2.0,0.5686744451522827,0.4111484289169311,0.1234333515167236,0.2266593277454376
3.0,0.5726227760314941,0.4341781735420227,0.1495390832424163,0.3212407231330871
4.0,0.5194927453994751,0.3717687129974365,0.126272827386856,0.1723776757717132
5.0,0.531355619430542,0.3719830513000488,0.1272587478160858,0.2025774866342544
6.0,0.5019688606262207,0.3712986707687378,0.1186257302761077,0.2337072640657425
7.0,0.488192081451416,0.3490524888038635,0.1019417941570282,0.1792366355657577
8.0,0.532291054725647,0.3806133866310119,0.1318565160036087,0.1878330707550048
9.0,0.5214295387268066,0.3738250732421875,0.1159097552299499,0.1603593081235885
