Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6668755412101746,0.4924232363700866,0.2254469394683838,0.3952435553073883
2.0,0.6408959627151489,0.5024560689926147,0.2414296716451645,0.3352960646152496
3.0,0.6722474098205566,0.4598371386528015,0.2262814193964004,0.3904932141304016
4.0,0.5388396978378296,0.4288751482963562,0.2163903564214706,0.396513283252716
5.0,0.5832343697547913,0.4071161448955536,0.1970826089382171,0.3149332106113434
6.0,0.5104982256889343,0.4734876155853271,0.1837783753871917,0.3201968073844909
7.0,0.5584591031074524,0.4210323691368103,0.2029980719089508,0.2817709445953369
8.0,0.6512529253959656,0.5102149844169617,0.2722777426242828,0.3644285798072815
9.0,0.5752732753753662,0.429787278175354,0.19585025310516357,0.3800872564315796
