Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6307522654533386,0.4792011082172394,0.1566559076309204,0.330435574054718
2.0,0.5723503828048706,0.4420841038227081,0.1452980041503906,0.2666750252246856
3.0,0.5927333831787109,0.4137647747993469,0.1213569641113281,0.3037198781967163
4.0,0.5798230171203613,0.4201210737228393,0.1376100182533264,0.2784902155399322
5.0,0.5750638246536255,0.4173272848129272,0.1340204030275344,0.2705243825912475
6.0,0.5424083471298218,0.3873924016952514,0.1368373781442642,0.324329137802124
7.0,0.5608376264572144,0.4003284275531769,0.1365948021411895,0.3077804744243622
8.0,0.5982791781425476,0.4863007664680481,0.1742919981479644,0.4007027149200439
9.0,0.6033707857131958,0.44482582807540894,0.12121035903692245,0.2423531860113144
