Index,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
Feature_1,0.38720208,0.23566183,0.25135344,0.3071765,0.24494812,0.28776747,0.29140583,0.24635147,0.28143126
Feature_2,0.34875968,0.24767378,0.23601696,0.2921606,0.21953079,0.29408467,0.2973441,0.22698678,0.23530559
Feature_3,0.4098373,0.19860464,0.25063664,0.25949132,0.2242389,0.32410207,0.2717854,0.2346214,0.2318017
Feature_4,0.26810065,0.20997363,0.22811826,0.31217363,0.22512329,0.29859304,0.2949825,0.23859903,0.26315057
Feature_5,0.28147858,0.22662015,0.25816503,0.2763409,0.23608854,0.19341668,0.27661926,0.24623388,0.2571307
Feature_6,0.2826506,0.19823244,0.21910976,0.3465344,0.257258,0.3627526,0.25452203,0.26060027,0.27175552
Feature_7,0.23855737,0.18757561,0.24622086,0.3559645,0.2343406,0.19177005,0.26759356,0.23492135,0.24328299
Feature_8,0.29007086,0.2525672,0.2544443,0.30191976,0.23259795,0.2611906,0.27084616,0.23296158,0.25028777
Feature_9,0.40280187,0.25209063,0.22022076,0.2843433,0.22828555,0.3113947,0.3185891,0.24538592,0.2530286
