Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.7189689874649048,0.5854829549789429,0.3168863952159881,0.3856135606765747
2.0,0.650710940361023,0.4856014251708984,0.2536498308181762,0.4226849675178528
3.0,0.6867233514785767,0.5141153335571289,0.2619916200637817,0.3755022287368774
4.0,0.5766826868057251,0.4274930953979492,0.2414884120225906,0.3366894125938415
5.0,0.6002750396728516,0.4447563886642456,0.2378824949264526,0.3788595497608185
6.0,0.5538904666900635,0.411298394203186,0.2013463377952575,0.4147683978080749
7.0,0.5287071466445923,0.4000307321548462,0.2287561595439911,0.4263799786567688
8.0,0.6853965520858765,0.5465904474258423,0.2628837525844574,0.3726234436035156
9.0,0.621219277381897,0.5097383260726929,0.27835559844970703,0.3716579079627991
