Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6408320665359497,0.5343403816223145,0.1445578634738922,0.1927564144134521
2.0,0.6126073598861694,0.4614432454109192,0.1180024594068527,0.36102095246315
3.0,0.6346228122711182,0.4926468729972839,0.1167336106300354,0.3397437930107116
4.0,0.557425856590271,0.4041632115840912,0.119591124355793,0.3226863443851471
5.0,0.5631682872772217,0.4550684988498688,0.1457593888044357,0.1812841892242431
6.0,0.5295502543449402,0.4011909365653991,0.1059459596872329,0.2542155086994171
7.0,0.5287524461746216,0.3952279686927795,0.0976880937814712,0.1623057126998901
8.0,0.5737278461456299,0.4307945966720581,0.0993728041648864,0.2044527232646942
9.0,0.5458119511604309,0.4229776859283447,0.0996509492397308,0.2441251277923584
