Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.6082395315170288,0.4075369238853454,0.1432939767837524,0.477900743484497
2.0,0.5980175733566284,0.382446140050888,0.1331042349338531,0.2798038721084595
3.0,0.6311496496200562,0.4078575670719147,0.1195272654294967,0.2925904393196106
4.0,0.5246554017066956,0.3107222020626068,0.1161330342292785,0.2476351261138916
5.0,0.5171069502830505,0.2901054620742798,0.1156874150037765,0.29020756483078
6.0,0.5186249017715454,0.322003424167633,0.1044304370880127,0.2434546947479248
7.0,0.4887178838253021,0.2755611538887024,0.111158549785614,0.2284170985221862
8.0,0.5740869045257568,0.3694228529930115,0.1460610628128051,0.3745239973068237
9.0,0.5487899780273438,0.2954492568969726,0.0785733163356781,0.2232233136892318
